종목명,종목코드,현재가,전일대비,등락률(%),거래량,거래대금,외국인보유율(%),시가총액
유티아이,179900,2290,60,2.69,126385,279852000,10.04,49393000000
에이프로젠,007460,1975,13,0.66,101496,199000000,0,49031000000
HC홈센타,060560,1931,-6,-0.31,18738,36648000,1.73,49024000000
현우산업,092300,2430,10,0.41,37447,90386000,7.04,48964000000
제노레이,122310,3360,0,0,10033,32913000,1.93,48900000000
서전기전,189860,5040,-90,-1.75,148510,752050000,1.51,48881000000
윙입푸드,900340,1373,9,0.66,56709,77265000,11.47,48855000000
대모,317850,5860,-130,-2.17,21253,125207000,3.2,48781000000
케이비아이동국실업,001620,2185,35,1.63,12647,27000000,1.02,48635000000
진원생명과학,011000,2670,0,0,0,0,0,48531000000
CJ 바이오사이언스,311690,3695,-5,-0.14,2617,9760000,2.73,48276000000
일신바이오,068330,1087,-33,-2.95,46560,50424000,3.01,48062000000
엑스플러스,373200,1911,-78,-3.92,40061,77711000,1.23,47857000000
HB인베스트먼트,440290,1738,-19,-1.08,46431,80061000,1.1,47806000000
에이텀,355690,4995,15,0.3,16142,80137000,2.07,47804000000
유성기업,002920,1836,-24,-1.29,127722,235000000,8.97,47639000000
시큐레터,418250,6550,0,0,0,0,0.62,47629000000
디와이디,219550,1150,39,3.51,22539,25157000,5.71,47586000000
큐라티스,348080,3705,855,30,88829,309803000,0.83,47526000000
씨아이테크,004920,907,0,0,0,0,0.58,47327000000
대양금속,009190,1075,-60,-5.29,333103,362000000,2.46,47285000000
다보링크,340360,889,-19,-2.09,60805,54749000,0.81,47123000000
흥국에프엔비,189980,1174,23,2,10933,12501000,2.28,47121000000
더블유에스아이,299170,1134,9,0.8,92313,104048000,5.42,47073000000
원익큐브,014190,1329,30,2.31,43334,56049000,4.68,47040000000
제이스코홀딩스,023440,521,0,0,0,0,1.48,46964000000
러셀,217500,1476,-19,-1.27,15941,23398000,3.4,46954000000
일신석재,007110,603,0,0,0,0,3.38,46706000000
서울식품,004410,1182,-7,-0.59,134382,157000000,2.62,46635000000
아이컴포넌트,059100,6590,200,3.13,18677,119323000,8.3,46596000000
상신브레이크,041650,2170,5,0.23,4697,10000000,2.33,46593000000
쎄노텍,222420,962,-23,-2.34,115226,110056000,3.85,46578000000
제일테크노스,038010,5170,-20,-0.39,18518,93669000,4.46,46530000000
츌립앤사이언스,291650,1520,-29,-1.87,8009,12323000,20.05,46389000000
유니온,000910,2970,40,1.37,14222,41000000,4.99,46366000000
티케이지애강,022220,895,1,0.11,684055,612200000,1.16,46356000000
대성창투,027830,858,-2,-0.23,59143,50704000,3.32,46332000000
대호에이엘,069460,2660,0,0,0,0,1.54,46322000000
코어라인소프트,384470,2580,20,0.78,13954,35596000,3.85,46302000000
캐프,198080,2150,-5,-0.23,19732,41972000,3.61,46300000000
대보마그네틱,290670,5890,-170,-2.81,15225,89665000,1.48,46281000000
아진전자부품,009320,938,-7,-0.74,13173,12000000,0.78,46243000000
프로이천,321260,1638,42,2.63,84325,136081000,6.6,46178000000
엘엠에스,073110,5190,0,0,734,3776000,1.01,46168000000
엘컴텍,037950,2730,-40,-1.44,13005,35851000,0.55,46108000000
YW,051390,4055,-75,-1.82,321,1305000,2.29,46046000000
우리바이오,082850,4750,-10,-0.21,20874,99687000,2.25,46033000000
씨티케이,260930,2380,-55,-2.26,22381,52827000,3.62,46032000000
깨끗한나라,004540,1232,-13,-1.04,12823,15000000,1.05,45880000000
젠큐릭스,229000,1957,0,0,0,0,1.96,45848000000
퀀타매트릭스,317690,2275,-10,-0.44,86408,191272000,18.49,45807000000
액토즈소프트,052790,4180,-25,-0.59,6335,26485000,52.85,45664000000
오상자이엘,053980,2405,-30,-1.23,24489,58639000,2.32,45653000000
이브이첨단소재,131400,766,0,0,0,0,1.69,45647000000
SM Life Design,063440,1004,6,0.6,94662,93904000,2.19,45500000000
TBH글로벌,084870,2220,-5,-0.22,12659,27000000,2.16,45417000000
셀로맥스사이언스,471820,4010,55,1.39,496,1965000,0.68,45324000000
케이엠,083550,3340,50,1.52,12732,42559000,2.18,45277000000
린드먼아시아,277070,3295,-45,-1.35,2303,7421000,1.31,45115000000
부산주공,005030,486,0,0,0,0,3.68,45092000000
마니커,027740,1420,-99,-6.52,95822,135000000,2.71,45092000000
영우디에스피,143540,1011,-10,-0.98,62445,62437000,2.01,45090000000
미래에셋맵스리츠,357250,1800,-2,-0.11,33019,59000000,0.47,44991000000
대덕전자1우,35320K,21450,200,0.94,5087,107000000,8.39,44948000000
ES큐브,050120,3310,-40,-1.19,7763,24915000,2.82,44897000000
이엔플러스,074610,5110,0,0,0,0,2.29,44815000000
에이텍모빌리티,224110,8810,150,1.73,4143,35391000,3.93,44758000000
