종목명,종목코드,현재가,전일대비,등락률(%),거래량,거래대금,외국인보유율(%),시가총액
삼정펄프,009770,28200,-50,-0.18,3015,84000000,17.35,70499000000
아모레퍼시픽홀딩스우,002795,11040,-10,-0.09,3792,41000000,47.26,70448000000
이상네트웍스,080010,7160,-80,-1.1,5470,39738000,5.1,70419000000
DSR,155660,4400,-5,-0.11,8772,38000000,2.87,70400000000
엔브이에이치코리아,067570,1669,24,1.46,59245,97102000,1.18,70381000000
옵티팜,153710,4795,5,0.1,6228,29220000,0.81,70342000000
종근당바이오,063160,12800,-260,-1.99,4948,63000000,1.42,70220000000
APS,054620,3815,20,0.53,14851,56140000,2.57,70173000000
성창기업지주,000180,5030,-70,-1.37,5955,29000000,0.58,70170000000
대창솔루션,096350,1904,-41,-2.11,107559,206160000,3.05,70171000000
넥스트칩,396270,2130,45,2.16,47863,100408000,3.42,70050000000
국제약품,002720,3310,20,0.61,17648,57000000,3.48,70039000000
CJ씨푸드,011150,1949,-6,-0.31,29853,57000000,2.38,70029000000
KT지니뮤직,043610,1202,1,0.08,21712,25921000,1.3,69854000000
잉크테크,049550,3560,115,3.34,21386,72684000,0.81,69798000000
크리스에프앤씨,110790,2975,-5,-0.17,1780,5242000,0.77,69707000000
대륙제관,004780,4380,75,1.74,38855,166127000,3.11,69656000000
레이저쎌,412350,4760,145,3.14,91470,422451000,3.76,69510000000
코오롱인더우,120115,25100,-250,-0.99,4711,117000000,6.88,69473000000
싸이토젠,217330,3000,-20,-0.66,68106,203765000,1.93,69388000000
아이티센씨티에스,031820,5730,-30,-0.52,56567,333000000,1.77,69362000000
디에이테크놀로지,196490,6090,0,0,0,0,2.23,69131000000
화천기계,010660,3140,-20,-0.63,21445,67000000,4.2,69080000000
탑머티리얼,360070,8410,10,0.12,11908,99866000,0,68895000000
싸이닉솔루션,234030,2915,45,1.57,49519,140627000,4.29,68808000000
일동홀딩스,000230,5960,-70,-1.16,6265,37000000,2.44,68780000000
알에프텍,061040,7600,400,5.56,1754,12717000,0,68766000000
선도전기,007610,3820,20,0.53,95533,364000000,2.14,68760000000
일지테크,019540,5080,100,2.01,26847,134785000,7.83,68648000000
원일티엔아이,136150,8190,370,4.73,6059,47495000,1.04,68640000000
제일연마,001560,9030,-130,-1.42,1026,9000000,6.43,68628000000
위메이드플레이,123420,6590,10,0.15,14525,93365000,3.88,68542000000
라파스,214260,7530,-140,-1.83,5540,42075000,0,67186000000
동일금속,109860,7510,0,0,221,1638000,0,68341000000
현대에이치티,039010,7920,70,0.89,11857,92827000,3.41,68310000000
휴비스,079980,1978,28,1.44,22135,42000000,1.34,68241000000
오텍,067170,2475,25,1.02,68841,168397000,1.67,67965000000
동양고속,084670,23450,0,0,4612,108000000,4.24,67901000000
금호에이치티,214330,6490,-20,-0.31,50840,329000000,0.25,67865000000
네오뷰,0218L0,12850,-180,-1.38,11870,151800000,16.31,67798000000
딜리셔스,483350,3045,40,1.33,212016,641702000,2.84,67457000000
영화테크,265560,6320,-190,-2.92,10300,66140000,1.74,67561000000
피제이전자,006140,4540,-105,-2.26,14304,65316000,3.04,67487000000
나래나노텍,137080,6300,140,2.27,4742,29384000,2.37,67472000000
삼륭물산,014970,4550,-100,-2.15,71625,327644000,1.32,67453000000
신신제약,002800,4445,-35,-0.78,18856,83605000,3.72,67432000000
에이프로,262260,4465,45,1.02,62785,277548000,4.51,67321000000
프로티아,303360,5200,-50,-0.95,9651,50417000,2.11,66974000000
해치텍,0155E0,12200,0,0,250195,3077820000,1.32,66943000000
TPC로보틱스,048770,4260,-195,-4.38,648384,2747535000,0.94,66873000000
신일전자,002700,973,3,0.31,208937,201000000,2.98,66696000000
엔케이,085310,8990,-10,-0.11,7742,68000000,0,66688000000
앱튼,270520,2870,-145,-4.81,156196,456602000,0,66466000000
디알텍,214680,3980,-90,-2.21,57467,228829000,0,66447000000
에이치엘지노믹스,0156T0,8530,-180,-2.07,76608,659091000,1.35,66381000000
인지소프트,100030,20200,-250,-1.22,7374,149169000,1.48,66331000000
피앤에스로보틱스,460940,4900,-170,-3.35,30036,148252000,1.6,65930000000
아우토크립트,331740,6750,-650,-8.78,139110,955531000,2.21,65819000000
모델솔루션,417970,10300,110,1.08,5470,55506000,3.2,65886000000
한국내화,010040,1604,-7,-0.43,1707,2000000,0.52,65871000000
네오이뮨텍,950220,1925,-135,-6.55,478600,934757000,0.57,65857000000
다스코,058730,3245,-50,-1.52,370937,1209000000,0.8,65715000000
셀리드,299660,2230,-30,-1.33,251340,556776000,0.47,65791000000
한국전자인증,041460,3440,-45,-1.29,35730,122812000,3.11,65360000000
팜젠사이언스,004720,2885,-85,-2.86,26800,77000000,1.61,65357000000
아이티센엔텍,010280,5010,-200,-3.84,55591,278764000,0,65254000000
셀바이오휴먼텍,318160,6980,-210,-2.92,22375,156787000,4.47,65175000000
우신시스템,017370,3550,60,1.72,3950,13000000,0.65,65014000000
다이나믹솔루션,290660,1517,0,0,330411,497391000,0,64985000000
다원넥스뷰,323350,8090,-170,-2.06,12099,97053000,7.05,64807000000
아이에스티이,212710,6670,230,3.57,32913,212524000,6.9,64798000000
프리엠스,053160,10790,210,1.98,2384,24706000,0.83,64740000000
남화산업,111710,3140,-10,-0.32,35585,112613000,1.15,64646000000
예림당,036000,2805,45,1.63,9678,26860000,1.75,64611000000
비상교육,100220,4970,-160,-3.12,27600,137000000,5.07,64593000000
팬젠,222110,4770,170,3.7,2795,13096000,7.25,64464000000
디지틀조선,033130,1736,-6,-0.34,12680,21898000,1.77,64432000000
티플랙스,081150,2650,40,1.53,57450,149156000,6.4,64311000000
국순당,043650,3600,-5,-0.14,16627,59743000,1.52,64289000000
아이엠티,451220,8150,150,1.88,7086,56858000,3.43,64178000000
홈캐스트,064240,1848,32,1.76,35693,64537000,1.73,64114000000
비트컴퓨터,032850,3850,0,0,18014,68641000,4.64,63999000000
팬스타엔터프라이즈,054300,1100,-13,-1.17,150175,163190000,0.46,63988000000
스마트레이더시스템,424960,3875,35,0.91,18546,71250000,3.56,63879000000
MSDI,123010,3170,325,11.42,280706,832431000,0,64083000000
이글루,067920,5800,-40,-0.68,50334,289092000,4.29,63777000000
포니링크,064800,2495,130,5.5,16274,38215000,3.29,63775000000
원풍,008370,5310,70,1.34,13986,73648000,1.31,63720000000
티이엠씨씨엔에스,241790,6370,80,1.27,59016,370178000,3.22,63716000000
와이즈넛,096250,5390,-110,-2,16686,89564000,0,63682000000
진코스텍,250030,22000,200,0.92,910,19831000,0,63622000000
하이스틸,071090,3150,-45,-1.41,141803,445000000,2.17,63603000000
삼일씨엔에스,004440,4995,55,1.11,40398,201000000,1.41,63596000000
아미코젠,092040,895,62,7.44,832456,736641000,2.78,63236000000
동원모빌리티,018500,1347,6,0.45,17071,22000000,3.74,62978000000
비엘팜텍,065170,2255,-90,-3.84,543486,1228430000,2.26,62945000000
유엔젤,072130,4955,-15,-0.3,11809,58000000,3.79,62905000000
SGC E&C,016250,12460,600,5.06,1393,16461000,1.68,62760000000
케이엘넷,039420,2735,-50,-1.8,5955,16348000,10.55,62760000000
디와이덕양,024900,1926,247,14.71,2544879,5178000000,1.63,62720000000
무림페이퍼,009200,1505,25,1.69,66773,99000000,1.89,62622000000
대현,016090,1414,13,0.93,59253,82000000,6.35,62615000000
이화공영,001840,2215,0,0,0,0,0.57,62588000000
엔비알모션,0004V0,5680,-60,-1.05,120589,699859000,5.26,62538000000
푸드웰,005670,6240,-50,-0.79,8941,55859000,2.76,62400000000
와이엠씨,155650,3285,315,10.61,237411,759458000,4.53,62330000000
삼기,122350,1625,-70,-4.13,360776,596912000,3.36,62301000000
삼성출판사,068290,6230,60,0.97,8725,54000000,1.42,62300000000
벡트,457600,4545,190,4.36,32022,142658000,2.93,62300000000
이오플로우,294090,1490,0,0,0,0,20.89,62295000000
유니테크노,241690,2545,-65,-2.49,47612,119806000,1.72,62277000000
화성밸브,039610,5970,-120,-1.97,55144,330417000,1.85,62150000000
오가닉티코스메틱,900300,3015,-185,-5.78,98276,297658000,0,62048000000
지아이텍,382480,1576,-1,-0.06,48487,76192000,3.48,62026000000
옵트론텍,082210,1774,19,1.08,34591,59376000,9.72,62024000000
휴니드,005870,4380,-60,-1.35,20340,89000000,27.92,61828000000
인크로스,216050,5050,0,0,11245,55905000,5.86,61603000000
참좋은여행,094850,4400,-20,-0.45,16282,71987000,2.7,61600000000
한화머시너리앤서비스홀딩스3우B,0220WL,2605,-110,-4.05,349658,920000000,24.84,61579000000
흥국,010240,5260,-100,-1.87,18041,95309000,6.86,61573000000
레몬헬스케어,365660,4575,25,0.55,517588,2396331000,0.51,61559000000
